TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Male,Tertiary,None,Urban,Yes,Yes,9167,12.8,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,8448,17.4,Fail
Private,Male,Secondary,None,Urban,Yes,No,5310,15.4,Fail
Private,Female,Tertiary,None,Rural,No,No,4019,19.5,Pass
Public,Female,Primary,1 year,Urban,No,No,4681,13.9,Pass
Public,Female,Secondary,None,Urban,Yes,Yes,5196,10.0,Fail
Public,Female,Primary,2 years,Urban,No,No,1572,10.2,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,5753,15.6,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,8082,17.5,Fail
Public,Male,Tertiary,None,Rural,Yes,No,5002,17.9,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,6629,19.1,Pass
Private,Male,Primary,2 years,Urban,No,No,9417,12.3,Fail
Private,Male,Secondary,None,Suburban,Yes,Yes,5200,17.4,Pass
Private,Male,Primary,2 years,Rural,Yes,Yes,2997,18.3,Fail
Public,Male,Tertiary,None,Urban,Yes,No,9963,18.4,Pass
Public,Male,Secondary,None,Urban,No,Yes,8422,14.1,Fail
Private,Female,Secondary,1 year,Rural,No,No,5524,16.3,Fail
Public,Male,Primary,1 year,Urban,No,No,9625,15.5,Pass
Public,Male,Primary,1 year,Urban,Yes,No,4407,16.0,Fail
Public,Female,Tertiary,None,Rural,No,No,7731,12.8,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,8795,16.8,Fail
Public,Female,Primary,2 years,Urban,Yes,No,3793,17.1,Fail
Public,Female,Primary,1 year,Urban,No,No,8334,12.0,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,3911,14.4,Fail
Public,Female,Tertiary,1 year,Rural,No,No,8952,14.2,Pass
Private,Female,Secondary,None,Suburban,Yes,Yes,3415,17.5,Fail
Public,Female,Tertiary,1 year,Suburban,Yes,Yes,1250,16.7,Fail
Private,Male,Primary,2 years,Urban,No,Yes,5951,14.8,Pass
Private,Female,Secondary,2 years,Suburban,Yes,No,9098,16.5,Pass
Public,Female,Tertiary,1 year,Suburban,No,Yes,6289,12.6,Pass
Public,Male,Tertiary,2 years,Suburban,No,Yes,9102,12.3,Pass
Private,Female,Primary,None,Urban,Yes,Yes,8257,12.4,Fail
Public,Female,Primary,1 year,Suburban,Yes,No,6565,10.3,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,7437,16.9,Pass
Public,Female,Secondary,1 year,Suburban,Yes,No,2173,19.9,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,9624,13.1,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,1835,19.3,Fail
Public,Female,Tertiary,1 year,Suburban,Yes,No,3262,16.1,Fail
Private,Male,Primary,1 year,Rural,Yes,Yes,5567,12.2,Fail
Private,Male,Secondary,None,Rural,Yes,No,4815,10.1,Pass
Public,Male,Secondary,1 year,Urban,Yes,No,1246,17.2,Fail
Public,Male,Secondary,None,Urban,Yes,Yes,3429,17.0,Pass
Public,Male,Primary,1 year,Rural,No,Yes,6287,12.3,Pass
Public,Male,Primary,2 years,Urban,Yes,No,3607,13.3,Pass
Public,Female,Primary,1 year,Suburban,Yes,No,6930,19.0,Fail
Private,Female,Secondary,1 year,Urban,Yes,Yes,5022,11.6,Pass
Private,Male,Secondary,2 years,Suburban,No,No,5784,18.4,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,7617,11.7,Pass
Private,Male,Primary,None,Suburban,No,No,4151,14.8,Pass
Private,Female,Primary,None,Rural,No,No,6580,15.0,Fail
Public,Female,Secondary,None,Urban,Yes,Yes,8054,14.7,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,8706,12.9,Fail
Private,Female,Tertiary,None,Rural,Yes,No,8619,12.5,Pass
Private,Female,Secondary,None,Rural,No,No,5573,17.3,Fail
Private,Female,Primary,None,Urban,No,Yes,4491,12.8,Fail
Public,Male,Primary,None,Rural,No,No,1706,16.1,Fail
Private,Female,Primary,None,Rural,Yes,Yes,7997,18.5,Pass
Private,Female,Primary,1 year,Suburban,Yes,Yes,6233,18.4,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,9945,11.7,Pass
Public,Male,Tertiary,None,Suburban,No,Yes,6755,16.5,Fail
Private,Female,Tertiary,2 years,Rural,No,Yes,7960,16.0,Fail
Private,Male,Secondary,2 years,Rural,No,Yes,9779,12.8,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,2334,13.9,Fail
Public,Female,Tertiary,2 years,Suburban,Yes,Yes,6588,12.9,Fail
Public,Female,Secondary,1 year,Urban,No,No,2847,15.4,Pass
Public,Female,Primary,None,Suburban,Yes,No,7851,18.0,Fail
Public,Male,Tertiary,None,Suburban,No,Yes,8211,18.8,Fail
Public,Female,Secondary,2 years,Urban,No,Yes,8865,17.2,Pass
Private,Male,Tertiary,2 years,Urban,Yes,No,4317,14.8,Pass
Public,Male,Tertiary,2 years,Urban,Yes,No,7811,19.6,Fail
Private,Female,Secondary,None,Urban,Yes,Yes,1164,15.6,Pass
Public,Female,Secondary,None,Rural,No,No,8060,14.8,Pass
Public,Female,Tertiary,2 years,Urban,No,No,4057,18.6,Pass
Public,Male,Tertiary,2 years,Urban,Yes,Yes,5428,11.8,Fail
Private,Female,Secondary,2 years,Rural,Yes,Yes,1402,11.6,Pass
Private,Male,Primary,2 years,Urban,Yes,No,9605,17.8,Pass
Private,Female,Primary,1 year,Urban,No,No,9236,18.7,Pass
Public,Male,Primary,2 years,Urban,No,Yes,7349,10.7,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,5157,17.6,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,1867,14.2,Fail
Public,Male,Primary,1 year,Urban,No,No,9210,17.0,Pass
Public,Male,Tertiary,1 year,Urban,Yes,No,1364,11.3,Fail
Public,Female,Primary,1 year,Urban,No,Yes,8467,19.7,Pass
Private,Male,Secondary,2 years,Urban,Yes,No,7571,18.8,Fail
Private,Male,Primary,None,Rural,No,No,1579,14.1,Fail
Public,Male,Primary,None,Suburban,No,No,8674,18.9,Pass
Private,Male,Secondary,None,Urban,Yes,Yes,9737,18.9,Pass
Private,Female,Primary,None,Urban,Yes,No,7468,14.6,Pass
Private,Male,Secondary,None,Rural,No,Yes,5150,19.5,Pass
Public,Female,Primary,None,Suburban,Yes,No,4039,19.8,Pass
Public,Female,Secondary,1 year,Suburban,Yes,Yes,5137,12.2,Fail
Public,Female,Primary,1 year,Suburban,Yes,Yes,1452,10.7,Pass
Public,Male,Tertiary,None,Urban,No,Yes,7537,13.3,Pass
Private,Female,Tertiary,2 years,Urban,No,No,2381,14.9,Fail
Public,Female,Secondary,2 years,Urban,No,Yes,9154,10.9,Pass
Public,Female,Secondary,None,Rural,Yes,No,2467,11.4,Fail
Public,Female,Secondary,2 years,Rural,No,No,3738,19.7,Fail
Private,Female,Tertiary,1 year,Rural,Yes,No,8572,17.4,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,7747,18.7,Pass
Private,Female,Primary,2 years,Urban,No,No,1880,19.7,Pass
Private,Male,Secondary,None,Urban,No,Yes,4149,13.8,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,9276,16.9,Pass
Public,Female,Primary,2 years,Rural,Yes,No,8892,11.8,Fail
Private,Male,Primary,2 years,Rural,Yes,Yes,5144,15.5,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,2168,12.1,Pass
Public,Female,Primary,1 year,Suburban,Yes,Yes,4129,11.6,Fail
Public,Female,Primary,None,Suburban,No,No,4645,11.0,Fail
Public,Female,Secondary,2 years,Urban,No,Yes,3526,15.8,Fail
Private,Female,Tertiary,None,Suburban,No,No,4516,19.5,Pass
Public,Female,Primary,1 year,Urban,Yes,No,4367,11.2,Fail
Private,Male,Tertiary,2 years,Urban,No,Yes,8338,15.0,Pass
Public,Female,Primary,1 year,Rural,No,No,4555,16.9,Pass
Private,Female,Tertiary,1 year,Suburban,No,Yes,6111,15.0,Fail
Private,Male,Primary,1 year,Urban,No,Yes,7752,19.1,Pass
Private,Male,Secondary,None,Urban,Yes,Yes,1445,11.7,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,7364,10.2,Pass
Public,Male,Tertiary,None,Urban,Yes,No,4626,13.8,Fail
Public,Male,Primary,1 year,Urban,Yes,No,5016,15.6,Pass
Private,Male,Tertiary,1 year,Urban,Yes,No,4875,12.5,Fail
Public,Female,Primary,2 years,Suburban,Yes,No,6497,11.7,Fail
Private,Female,Tertiary,1 year,Urban,Yes,No,7238,18.0,Pass
Public,Female,Tertiary,2 years,Rural,No,Yes,1261,11.9,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,5992,14.4,Pass
Private,Female,Secondary,None,Rural,Yes,No,5025,19.5,Pass
Private,Female,Tertiary,2 years,Rural,No,No,9283,16.1,Fail
Public,Male,Secondary,2 years,Rural,Yes,Yes,5222,15.0,Fail
Private,Female,Tertiary,1 year,Urban,Yes,No,5175,13.6,Fail
Public,Male,Primary,1 year,Urban,No,No,4443,15.2,Fail
Public,Male,Tertiary,None,Rural,No,Yes,6011,17.3,Fail
Public,Male,Tertiary,2 years,Rural,No,No,1693,18.2,Fail
Private,Male,Secondary,2 years,Suburban,No,Yes,9347,16.5,Pass
Private,Female,Secondary,None,Rural,Yes,Yes,2812,17.9,Fail
Public,Female,Primary,1 year,Urban,No,Yes,6724,10.9,Pass
Private,Female,Primary,2 years,Rural,Yes,No,2407,10.1,Fail
Private,Male,Primary,None,Rural,Yes,No,9032,17.3,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,2410,12.6,Pass
Private,Female,Primary,None,Rural,No,No,4497,18.8,Fail
Private,Male,Primary,None,Suburban,No,Yes,5372,15.4,Fail
Public,Male,Secondary,2 years,Suburban,Yes,No,8394,14.8,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,1551,17.7,Pass
Public,Male,Primary,2 years,Rural,No,No,5332,17.4,Fail
Private,Female,Primary,2 years,Urban,No,Yes,1997,17.0,Fail
Private,Male,Tertiary,1 year,Urban,Yes,Yes,5076,16.9,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,7099,15.2,Fail
Public,Female,Secondary,1 year,Suburban,No,Yes,6555,19.3,Fail
Private,Male,Primary,2 years,Urban,No,No,5052,18.9,Pass
Public,Male,Primary,1 year,Suburban,No,Yes,6303,13.3,Fail
Public,Male,Primary,1 year,Urban,No,Yes,9118,18.0,Fail
Private,Female,Primary,1 year,Suburban,No,No,7102,18.9,Pass
Public,Female,Primary,None,Urban,No,Yes,6490,16.2,Pass
Private,Female,Tertiary,1 year,Urban,Yes,Yes,9564,15.6,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,6616,16.7,Pass
Public,Male,Primary,None,Suburban,No,Yes,3248,11.6,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,1848,10.9,Fail
Public,Male,Tertiary,None,Rural,Yes,Yes,7354,18.2,Pass
Private,Female,Primary,1 year,Rural,No,No,9695,15.7,Fail
Public,Female,Tertiary,None,Suburban,Yes,No,9070,11.2,Fail
Public,Male,Primary,2 years,Suburban,No,No,9894,14.2,Fail
Private,Female,Tertiary,None,Suburban,Yes,Yes,4625,13.0,Pass
Public,Female,Primary,1 year,Suburban,Yes,No,1314,18.8,Fail
Public,Female,Primary,1 year,Urban,Yes,No,3376,15.1,Fail
Public,Male,Tertiary,2 years,Rural,No,Yes,5378,15.8,Fail
Private,Female,Tertiary,None,Suburban,Yes,No,9449,12.4,Fail
Private,Female,Secondary,2 years,Rural,No,No,1574,18.0,Pass
Public,Female,Primary,2 years,Rural,No,No,6585,19.3,Fail
Public,Female,Primary,2 years,Urban,Yes,No,6492,17.9,Pass
Private,Female,Primary,1 year,Suburban,Yes,Yes,9949,14.9,Fail
Private,Male,Primary,None,Rural,No,No,3810,18.4,Pass
Private,Female,Tertiary,1 year,Urban,No,No,9134,11.9,Pass
Public,Female,Tertiary,1 year,Suburban,No,No,6670,11.1,Fail
Private,Male,Secondary,1 year,Suburban,Yes,Yes,8715,14.4,Fail
Public,Female,Primary,None,Rural,No,Yes,7567,11.8,Fail
Private,Male,Secondary,1 year,Urban,Yes,No,4459,12.6,Pass
Public,Male,Secondary,1 year,Urban,No,No,7117,15.9,Fail
Private,Male,Secondary,1 year,Urban,Yes,Yes,4992,14.0,Pass
Public,Male,Secondary,None,Urban,No,No,8837,18.7,Fail
Private,Female,Secondary,None,Suburban,No,Yes,1203,12.3,Pass
Private,Female,Tertiary,2 years,Rural,Yes,No,3775,20.0,Fail
Public,Male,Tertiary,1 year,Rural,Yes,Yes,2992,13.6,Fail
Private,Female,Secondary,1 year,Urban,Yes,No,3243,15.2,Fail
Private,Male,Tertiary,None,Urban,Yes,No,9498,11.3,Pass
Private,Female,Tertiary,None,Urban,Yes,Yes,2687,15.8,Fail
Private,Female,Secondary,1 year,Rural,No,No,5109,19.6,Pass
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,2860,17.5,Fail
Public,Female,Tertiary,2 years,Suburban,Yes,No,6176,12.4,Pass
Private,Male,Primary,1 year,Urban,Yes,No,1722,14.4,Pass
Public,Female,Secondary,2 years,Suburban,Yes,Yes,9971,14.3,Fail
Public,Female,Primary,2 years,Suburban,Yes,Yes,9720,11.0,Pass
Public,Female,Primary,1 year,Rural,No,Yes,5893,18.9,Pass
Public,Male,Secondary,2 years,Urban,Yes,No,1343,13.8,Fail
Public,Male,Primary,None,Suburban,No,No,6398,14.9,Pass
Private,Male,Primary,1 year,Urban,Yes,No,9400,12.9,Fail
Public,Female,Tertiary,None,Urban,Yes,No,5736,11.5,Fail
Private,Male,Primary,1 year,Suburban,No,No,4406,19.0,Fail
Public,Male,Secondary,None,Rural,Yes,No,1919,10.4,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,Yes,6819,14.0,Pass
Private,Female,Tertiary,None,Rural,No,No,3044,17.3,Pass
Private,Female,Tertiary,None,Suburban,No,Yes,1418,13.1,Fail
Public,Female,Secondary,None,Urban,Yes,No,2749,14.5,Pass
Public,Female,Secondary,None,Rural,No,Yes,8378,15.6,Fail
Private,Male,Secondary,None,Rural,Yes,Yes,2099,20.0,Pass
Private,Female,Primary,1 year,Urban,Yes,No,4392,17.6,Fail
Public,Male,Primary,None,Suburban,Yes,Yes,3772,19.7,Pass
Public,Female,Tertiary,None,Rural,No,No,7784,16.9,Pass
Private,Male,Tertiary,1 year,Suburban,No,Yes,2545,12.7,Fail
Public,Male,Secondary,1 year,Suburban,Yes,Yes,2070,12.9,Pass
Public,Female,Secondary,2 years,Suburban,Yes,Yes,7522,18.2,Pass
Public,Male,Primary,None,Urban,No,Yes,2850,14.3,Fail
Public,Male,Primary,None,Suburban,Yes,Yes,6053,13.7,Fail
Public,Male,Secondary,2 years,Urban,No,Yes,3939,19.5,Pass
Public,Male,Secondary,None,Rural,No,Yes,8194,10.1,Pass
Private,Female,Primary,2 years,Suburban,No,No,6851,15.2,Fail
Private,Female,Tertiary,1 year,Rural,No,No,7673,17.8,Pass
Private,Male,Tertiary,None,Suburban,No,No,1678,17.4,Pass
Private,Female,Primary,None,Rural,Yes,No,1988,13.7,Pass
Private,Male,Primary,1 year,Urban,No,Yes,2502,15.4,Fail
Private,Male,Tertiary,None,Rural,No,Yes,2789,10.1,Pass
Public,Female,Primary,1 year,Rural,No,No,6281,15.3,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,6027,15.9,Fail
Private,Female,Tertiary,2 years,Suburban,No,Yes,2425,18.7,Fail
Private,Male,Primary,1 year,Suburban,No,No,7654,12.1,Fail
Private,Female,Secondary,2 years,Suburban,No,Yes,3440,18.3,Pass
Public,Female,Secondary,1 year,Urban,Yes,No,7856,17.2,Pass
Public,Male,Secondary,2 years,Rural,Yes,Yes,8367,16.7,Fail
Public,Female,Secondary,2 years,Rural,Yes,No,3594,13.9,Fail
Public,Male,Secondary,2 years,Urban,No,No,5689,13.7,Fail
Private,Female,Secondary,2 years,Rural,No,No,3436,17.0,Pass
Private,Male,Secondary,None,Suburban,Yes,Yes,6517,19.9,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,7310,14.1,Fail
Private,Female,Primary,1 year,Suburban,No,No,4539,19.2,Pass
Public,Female,Secondary,1 year,Rural,Yes,Yes,4483,15.9,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,8371,18.7,Fail
Private,Female,Tertiary,2 years,Urban,Yes,No,3241,12.2,Fail
Public,Male,Secondary,None,Rural,No,Yes,7378,17.6,Fail
Public,Female,Tertiary,1 year,Urban,Yes,Yes,3765,18.3,Fail
Public,Female,Primary,1 year,Urban,Yes,Yes,5911,18.3,Fail
Public,Male,Secondary,1 year,Suburban,Yes,No,1403,17.8,Fail
Private,Female,Tertiary,2 years,Rural,No,Yes,4382,13.0,Fail
Public,Male,Primary,1 year,Urban,No,No,5163,15.2,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,8630,13.0,Pass
Public,Male,Secondary,None,Suburban,Yes,No,1087,13.4,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,6816,13.0,Fail
Private,Male,Tertiary,None,Urban,Yes,Yes,6470,12.8,Pass
Private,Female,Tertiary,1 year,Rural,Yes,No,7276,16.9,Fail
Public,Male,Primary,2 years,Rural,No,No,6739,16.5,Pass
Public,Female,Tertiary,1 year,Suburban,Yes,No,5273,12.0,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,7523,16.9,Fail
Public,Male,Tertiary,2 years,Suburban,No,No,6003,12.9,Fail
Public,Female,Secondary,None,Urban,No,No,9038,12.0,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,7606,17.5,Pass
Public,Male,Tertiary,2 years,Urban,No,No,3064,13.6,Fail
Public,Male,Primary,None,Rural,No,Yes,6315,15.7,Fail
Public,Female,Primary,2 years,Suburban,Yes,No,1317,12.0,Fail
Public,Female,Tertiary,None,Urban,Yes,No,2502,16.1,Pass
Public,Male,Primary,None,Urban,No,No,7130,12.1,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,8419,11.7,Pass
Public,Male,Primary,2 years,Suburban,Yes,No,3042,13.9,Pass
Private,Female,Secondary,None,Urban,No,Yes,5598,17.9,Fail
Private,Male,Tertiary,None,Urban,Yes,Yes,1118,11.8,Fail
Public,Female,Tertiary,None,Suburban,No,Yes,1709,11.2,Pass
Private,Female,Tertiary,None,Rural,No,Yes,4557,10.3,Fail
Public,Male,Primary,None,Urban,No,Yes,4250,14.2,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,9061,12.8,Pass
Private,Female,Primary,1 year,Urban,No,Yes,9609,12.9,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,3603,19.8,Pass
Public,Male,Primary,1 year,Rural,No,No,2101,11.9,Pass
Private,Female,Secondary,None,Suburban,Yes,Yes,5421,14.6,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,8857,19.9,Pass
Private,Female,Primary,1 year,Rural,No,No,9177,10.3,Pass
Public,Female,Secondary,None,Suburban,Yes,No,7082,17.0,Pass
Public,Male,Secondary,2 years,Rural,No,No,7658,13.7,Fail
Private,Female,Primary,1 year,Urban,No,No,3261,19.1,Pass
Private,Female,Secondary,2 years,Suburban,Yes,No,9021,19.1,Fail
Private,Male,Primary,1 year,Suburban,No,No,1508,13.9,Pass
Private,Female,Secondary,2 years,Urban,Yes,No,3379,12.2,Pass
Public,Male,Tertiary,2 years,Urban,Yes,No,9879,14.3,Pass
Public,Female,Tertiary,1 year,Urban,Yes,No,5752,19.7,Pass
Public,Female,Tertiary,2 years,Rural,No,Yes,6495,12.8,Pass
Private,Female,Primary,2 years,Rural,Yes,No,4209,19.8,Pass
Public,Female,Tertiary,None,Rural,No,Yes,8398,18.2,Fail
Private,Female,Tertiary,1 year,Rural,Yes,No,7743,12.7,Pass
Private,Female,Tertiary,2 years,Rural,Yes,No,6648,17.9,Pass
Private,Female,Primary,1 year,Rural,No,Yes,6171,10.5,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,8890,15.5,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,1324,13.6,Pass
Public,Male,Primary,1 year,Suburban,Yes,Yes,4557,14.3,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,4587,14.7,Fail
Public,Female,Secondary,None,Suburban,No,Yes,1151,15.0,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,1954,16.6,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,5354,17.0,Fail
Private,Male,Primary,1 year,Suburban,No,Yes,8160,19.8,Pass
Public,Female,Primary,2 years,Urban,No,Yes,1687,17.6,Pass
Private,Male,Primary,1 year,Suburban,No,No,9501,16.9,Fail
Private,Female,Tertiary,None,Urban,Yes,No,4127,13.9,Fail
Private,Female,Secondary,None,Urban,Yes,Yes,7763,11.2,Fail
Public,Male,Secondary,2 years,Suburban,No,Yes,4395,10.6,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,1845,14.8,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,2164,16.7,Pass
Private,Male,Tertiary,None,Urban,Yes,Yes,6904,16.5,Fail
Public,Male,Secondary,1 year,Rural,No,Yes,6360,19.5,Fail
Private,Male,Tertiary,None,Urban,No,Yes,1354,13.8,Fail
Private,Female,Secondary,None,Rural,Yes,Yes,2872,16.3,Pass
Public,Female,Primary,1 year,Rural,No,Yes,3024,18.9,Pass
Private,Male,Primary,2 years,Rural,Yes,Yes,3817,14.0,Fail
Public,Male,Primary,1 year,Rural,Yes,No,4832,14.8,Pass
Private,Female,Primary,None,Suburban,Yes,No,9257,19.2,Pass
Public,Female,Tertiary,None,Suburban,No,No,3581,15.5,Fail
Public,Male,Secondary,None,Suburban,Yes,Yes,3486,18.0,Pass
Public,Female,Tertiary,None,Urban,No,No,9418,19.4,Fail
Private,Female,Primary,2 years,Suburban,No,No,3443,15.7,Fail
Private,Female,Secondary,1 year,Suburban,Yes,Yes,9919,11.1,Fail
Public,Female,Tertiary,1 year,Suburban,No,Yes,2036,18.2,Pass
Private,Male,Primary,2 years,Rural,Yes,Yes,9684,18.2,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,8435,11.1,Fail
Public,Male,Secondary,None,Rural,Yes,No,2548,15.5,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,6065,14.9,Pass
Public,Male,Primary,1 year,Rural,Yes,No,7496,18.5,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,7183,12.7,Fail
Private,Female,Primary,2 years,Suburban,Yes,Yes,4957,14.3,Pass
Private,Male,Tertiary,None,Rural,No,No,4407,16.0,Fail
Private,Female,Primary,None,Rural,No,No,1639,15.2,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,1172,19.6,Fail
Private,Male,Primary,None,Suburban,No,No,6666,19.6,Pass
Private,Female,Secondary,2 years,Rural,No,No,5354,10.8,Pass
Public,Female,Secondary,2 years,Urban,Yes,Yes,4959,13.0,Fail
Private,Female,Primary,1 year,Rural,Yes,Yes,9708,10.1,Pass
Private,Male,Secondary,None,Suburban,Yes,No,9714,14.2,Fail
Private,Male,Primary,2 years,Urban,Yes,Yes,3886,16.6,Fail
Public,Female,Tertiary,2 years,Rural,Yes,Yes,3164,14.7,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,4945,10.7,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,6235,12.0,Fail
Public,Male,Secondary,None,Suburban,No,No,8746,11.7,Fail
Public,Female,Tertiary,2 years,Rural,Yes,Yes,3590,15.1,Fail
Private,Female,Tertiary,2 years,Rural,No,No,8754,16.8,Fail
Private,Female,Primary,None,Urban,Yes,No,5934,13.2,Pass
Private,Male,Secondary,1 year,Suburban,Yes,No,5076,11.3,Fail
Public,Female,Tertiary,1 year,Suburban,Yes,No,6185,18.0,Pass
Public,Male,Secondary,2 years,Urban,Yes,No,2093,18.6,Fail
Private,Male,Primary,1 year,Rural,No,No,4880,12.8,Fail
Public,Male,Tertiary,None,Suburban,Yes,Yes,7559,14.2,Pass
Public,Female,Tertiary,2 years,Urban,No,Yes,3785,10.8,Fail
Public,Male,Secondary,None,Suburban,Yes,No,7065,12.3,Fail
Private,Female,Tertiary,1 year,Rural,No,No,7539,17.7,Pass
Private,Male,Primary,1 year,Rural,No,No,2574,13.7,Pass
Private,Female,Primary,2 years,Urban,Yes,No,6676,16.0,Pass
Private,Female,Tertiary,1 year,Urban,No,No,9060,19.5,Fail
Private,Female,Primary,2 years,Suburban,No,No,4990,17.2,Pass
Public,Female,Tertiary,2 years,Rural,Yes,Yes,6210,14.5,Fail
Public,Female,Tertiary,None,Rural,No,Yes,5845,13.7,Pass
Public,Female,Tertiary,1 year,Urban,No,Yes,2189,11.9,Fail
Public,Female,Tertiary,1 year,Urban,No,Yes,3689,17.6,Pass
Public,Female,Secondary,2 years,Suburban,Yes,Yes,5095,11.1,Pass
Public,Male,Tertiary,2 years,Rural,Yes,No,2875,10.6,Pass
Private,Male,Primary,2 years,Suburban,No,Yes,8768,11.0,Pass
Private,Male,Secondary,2 years,Suburban,No,No,4406,12.4,Pass
Public,Male,Primary,None,Urban,No,Yes,4932,16.3,Pass
Private,Male,Tertiary,1 year,Rural,No,Yes,9240,18.6,Fail
Public,Female,Primary,None,Urban,Yes,No,6408,19.9,Fail
Public,Female,Secondary,1 year,Suburban,No,No,4861,17.3,Pass
Private,Female,Primary,None,Suburban,No,Yes,8406,11.5,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,3833,12.8,Pass
Public,Female,Tertiary,None,Rural,Yes,No,6285,11.3,Pass
Private,Male,Tertiary,None,Rural,No,Yes,8645,11.2,Pass
Public,Male,Primary,2 years,Rural,No,No,5777,15.7,Pass
Public,Female,Primary,2 years,Urban,Yes,Yes,3735,19.1,Fail
Public,Male,Tertiary,1 year,Urban,No,No,9273,16.8,Pass
Public,Male,Tertiary,1 year,Urban,No,No,9278,18.0,Pass
Public,Female,Primary,None,Urban,No,No,7368,15.1,Pass
Private,Female,Tertiary,None,Suburban,Yes,Yes,1821,14.8,Fail
Public,Male,Secondary,None,Urban,Yes,No,8525,19.4,Pass
Private,Male,Secondary,2 years,Urban,No,Yes,1162,17.2,Fail
Public,Female,Primary,1 year,Rural,No,Yes,8777,14.6,Fail
Private,Male,Primary,None,Suburban,Yes,Yes,2932,13.3,Pass
Public,Female,Tertiary,1 year,Urban,Yes,No,4535,10.9,Fail
Private,Male,Tertiary,1 year,Suburban,No,Yes,6956,18.2,Pass
Public,Male,Secondary,2 years,Suburban,No,No,4446,11.7,Pass
Public,Female,Primary,2 years,Suburban,No,No,3790,15.2,Pass
Private,Male,Primary,None,Suburban,Yes,Yes,3707,16.4,Pass
Private,Female,Primary,None,Rural,Yes,No,8959,17.4,Fail
Private,Male,Primary,None,Rural,Yes,No,4933,10.8,Fail
Private,Male,Secondary,None,Suburban,Yes,No,4385,10.1,Fail
Private,Female,Secondary,None,Suburban,Yes,Yes,7636,17.1,Pass
Private,Male,Primary,1 year,Suburban,No,No,1922,14.5,Pass
Public,Female,Secondary,1 year,Rural,No,No,9089,11.8,Fail
Public,Female,Primary,2 years,Rural,No,Yes,1564,19.8,Pass
Public,Male,Secondary,2 years,Suburban,Yes,No,4258,17.9,Fail
Private,Female,Tertiary,1 year,Suburban,No,No,3500,15.8,Pass
Private,Female,Secondary,2 years,Suburban,Yes,No,5566,17.0,Fail
Private,Female,Primary,2 years,Suburban,Yes,Yes,7881,11.6,Pass
Public,Male,Tertiary,None,Rural,No,No,4636,19.6,Fail
Private,Female,Primary,2 years,Urban,No,No,7030,20.0,Pass
